date,cn_PM10,seoul_PM10,seoul_wd,seoul_ws,china_wd,china_ws
2013030100,6,51,W,3.9,NW,9.3
2013030101,12,41,W,2.9,NW,9.4
2013030102,14,25,SW,2.0,NW,8.6
2013030103,12,20,W,4.0,NW,6.6
2013030104,12,25,W,3.4,NW,4.5
2013030105,11,33,W,3.7,NNW,1.7
2013030106,12,30,W,5.0,NNE,1.6
2013030107,13,51,WNW,4.8,NE,1.7
2013030108,8,95,W,5.9,NNW,2.7
2013030109,6,88,WNW,6.8,SSW,0.8
2013030110,6,104,WNW,6.0,NNW,2.5
2013030111,6,70,W,7.6,NNW,1.4
2013030112,8,48,WNW,6.5,NE,2.1
2013030113,5,32,W,7.2,NE,2.1
2013030114,5,34,WNW,5.8,ENE,3.4
2013030115,8,36,WNW,5.9,NE,2.6
2013030116,7,35,WNW,5.3,NNE,1
2013030117,10,34,W,6.6,NNW,2
2013030118,6,41,W,6.1,NW,0.6
2013030119,8,40,W,7.1,N,1.9
2013030120,13,39,WNW,3.6,NE,2
2013030121,14,40,WSW,3.6,ENE,2.5
2013030122,11,37,WSW,3.2,ENE,2.2
2013030123,11,34,WSW,2.5,NE,2.8
2013030200,7,30,WSW,2.7,NE,3.2
2013030201,6,29,S,1.4,E,1
2013030202,4,28,ENE,0.8,NE,2.1
2013030203,8,37,NW,3.1,NNE,1.4
2013030204,6,39,NNW,4.0,N,1.7
2013030205,6,28,NW,2.6,N,0.7
2013030206,6,27,WNW,1.5,NNW,0.9
2013030207,NA,29,W,2.8,N,1.3
2013030208,12,24,N,1.7,N,1.6
2013030209,10,23,WNW,3.1,NW,1.7
2013030210,35,20,WNW,2.4,SW,0.5
2013030211,32,28,WNW,3.4,SSW,1.6
2013030212,22,24,WSW,3.8,SW,1.1
2013030213,14,32,NW,3.2,NE,1
2013030214,23,35,W,4.2,N,1.2
2013030215,34,39,WSW,5.4,NE,0.5
2013030216,47,30,W,3.5,N,1.8
2013030217,55,32,W,4.1,ENE,1.4
2013030218,51,27,W,2.8,ENE,1.5
2013030219,54,27,W,3.3,ENE,1.3
2013030220,82,27,WNW,3.3,NE,1.4
2013030221,104,30,W,3.7,ENE,0.8
2013030222,123,31,W,4.4,NNE,1
2013030223,136,38,W,4.9,N,1.6
2013030300,153,35,WSW,1.9,N,1.4
2013030301,118,39,W,2.3,WNW,1
2013030302,92,36,WSW,2.9,NW,0.2
2013030303,90,41,WSW,1.5,N,0.1
2013030304,92,36,W,3.5,N,1.1
2013030305,106,36,W,1.7,NNE,1.1
2013030306,108,40,WSW,2.2,NW,0.8
2013030307,97,32,WSW,1.6,NNW,1.4
2013030308,122,29,WSW,1.8,N,2.1
2013030309,114,27,SW,0.9,N,1
2013030310,95,28,W,3.2,WNW,0.9
2013030311,92,28,SSW,2.8,S,1.4
2013030312,106,34,SW,3.9,S,2.2
2013030313,123,30,W,4.5,W,4.7
2013030314,114,28,WNW,3.5,W,3.4
2013030315,107,28,SW,5.2,N,3.1
2013030316,96,20,WSW,4.0,NE,1.6
2013030317,73,28,W,4.4,N,1.1
2013030318,67,27,W,3.3,N,0
2013030319,66,27,W,3.3,NW,0.9
2013030320,67,32,WNW,3.5,NNW,2.4
2013030321,64,44,W,1.9,NW,1.5
2013030322,68,49,WNW,1.2,N,1.4
2013030323,55,45,SW,1.9,NW,4.2
2013030400,55,41,SSW,1.7,NW,4.5
2013030401,54,35,SW,1.9,NW,2.6
2013030402,50,38,NNE,0.7,N,1.5
2013030403,26,38,NE,2.0,WNW,1.1
2013030404,8,32,NNE,1.6,S,2.1
2013030405,8,36,ENE,2.0,SE,1
2013030406,9,37,NE,1.9,NE,1.4
2013030407,14,38,NE,3.0,NNE,1.2
2013030408,21,47,NE,2.7,NE,3.1
2013030409,33,43,NE,2.0,NE,1.5
2013030410,14,47,WSW,1.0,ESE,1.4
2013030411,9,54,SW,2.8,E,1.7
2013030412,7,64,WNW,2.7,W,3.5
2013030413,8,89,WSW,4.0,NNW,2.9
2013030414,9,91,WNW,3.4,N,3.5
2013030415,6,70,WNW,4.8,WSW,3.2
2013030416,NA,40,WNW,3.4,SSW,3
2013030417,10,55,WNW,6.9,SW,1.8
2013030418,28,48,W,4.8,SSW,1.6
2013030419,47,72,WSW,3.1,SSE,1.3
2013030420,60,90,N,0.7,SSE,1.5
2013030421,84,123,WNW,1.6,SSE,1.6
2013030422,97,121,WNW,4.1,S,1.6
2013030423,103,102,NW,2.7,SSE,1.6
2013030500,100,98,WSW,2.6,ESE,1.5
2013030501,100,106,W,3.1,NE,0.9
2013030502,106,96,NNE,1.4,NNE,1.7
2013030503,116,95,WNW,2.0,NNE,0.2
2013030504,133,90,W,2.8,NNE,1.7
2013030505,127,86,N,1.2,NNE,0
2013030506,116,79,ENE,1.0,NE,1
2013030507,108,91,WSW,2.1,NE,1
2013030508,111,96,SW,1.2,SSE,1.3
2013030509,123,94,SW,0.8,SSE,1.5
2013030510,136,94,SW,2.1,NE,1.4
2013030511,150,83,SSW,3.1,ENE,1.1
2013030512,147,73,SW,3.4,S,1.4
2013030513,149,70,SW,4.0,ESE,0.6
2013030514,154,77,SW,5.0,E,1.7
2013030515,102,67,WSW,4.7,S,1.6
2013030516,3,60,SSW,6.0,SE,1
2013030517,74,45,WSW,5.2,NNE,1.2
2013030518,238,41,W,3.6,N,0.7
2013030519,226,53,W,3.8,NNE,1.3
2013030520,234,57,WNW,3.8,NNE,1.3
2013030521,247,64,W,3.5,N,1.5
2013030522,261,67,WNW,2.1,N,1.4
2013030523,239,62,SW,1.9,N,1.7
2013030600,208,49,SW,2.6,NNW,0.7
2013030601,184,47,N,0.3,NNW,1
2013030602,173,43,NNE,1.1,N,1.2
2013030603,175,47,NE,2.2,N,1.8
2013030604,158,41,NE,3.4,N,2.1
2013030605,144,46,NE,3.2,NNE,1.8
2013030606,140,48,ENE,2.2,N,2
2013030607,136,48,ENE,3.1,NNE,1.9
2013030608,132,47,ENE,2.4,N,2.1
2013030609,138,45,ENE,3.0,N,2.2
2013030610,156,50,E,2.7,NNW,1.7
2013030611,174,48,ENE,2.6,N,2.1
2013030612,174,51,ENE,2.9,N,1.7
2013030613,186,59,E,1.5,NNW,0.9
2013030614,173,63,SSE,2.0,WSW,1.2
2013030615,176,90,SSW,1.6,NE,1.2
2013030616,191,94,SSE,1.9,NNE,0.2
2013030617,218,101,SSW,2.7,SE,0.6
2013030618,217,108,SE,1.6,ESE,0
2013030619,217,106,SE,1.6,NNW,0.1
2013030620,233,112,NE,2.6,W,0.8
2013030621,241,121,NE,1.9,W,0.1
2013030622,245,131,NE,2.6,NE,0.5
2013030623,277,116,NE,2.5,NE,0.9
